204220002,3
204220036,1
204220037,1
204220065,1
204220066,1
204220091,1
204224530,1
204225050,1
204225545,1
204226045,1
204226545,1
204227060,1
260815014,2
260815016,2
260815018,2
260820014,3
260820016,2
260820018,2
260820020,2
260827114,2
260827116,2
260827118,2
260827120,2
260827122,2
260827124,2
260827126,2
260827128,2
260827130,2
260835530,2
260835532,2
260835534,2
260835536,2
260835538,2
260835540,2
260851032,2
260851034,2
260851036,2
260851038,2
260851040,2
267515014,2
267515016,2
267515018,2
267520014,2
267520016,2
267520018,2
267520020,2
267527014,2
267527016,2
267527018,2
267527020,2
267527022,2
267527024,2
267527026,2
267527028,2
267527030,2
267535030,2
267535032,2
267535034,2
267535036,2
267535038,2
267535040,2
267551032,2
267551034,2
267551036,2
267551038,2
267551040,2
280114403,1
280115403,1
280122610,1
280122806,1
280123007,1
280123107,1
280123208,1
280123504,1
280123608,1
280220411,1
280260615,1
280261407,1
280261607,1
280261708,1
280302203,1
280302211,1
280302403,1
280302409,1
280303010,1
280323001,1
280323002,1
280412505,1
280412511,1
280422505,1
280422511,1
280424006,1
280424012,1
280432305,1
280432311,1
297209390,1
297210345,1
297310340,1
297311380,1
297400001,2
364048030,4
394325110,2
398400001,2
398511320,1
398731340,1
922148035,5
922148045,5
938700008,2
